Local Council,Last Updated,Published,Submitted,Found Sound,Adopted
Stockport Metropolitan Borough Council,Mar-11,Jun-10,Aug-10,Feb-11,Mar-11
Stockton-on-Tees Borough Council,Dec-10,Oct-08,May-09,Feb-10,Mar-10
Stockton-on-Tees Borough Council ,Feb-19,Sep-17,Dec-17,Dec-18,Jan-19
Stoke on Trent City Council,Dec-10,Aug-08,Dec-08,Jun-09,Oct-09
Stratford on Avon District Council,Jul-16,Jun-14,Sep-14,Jun-16,Jul-16
Stroud District Council,Dec-15,Sep-13,Dec-13,Nov-15,Nov-15
Suffolk Coastal District Council,Jul-13,Jan-12,May-12,Jun-13,Jul-13
Suffolk Coastal District Council,Apr-19,Jan-19,Mar-19,,
Sunderland City Council,Jan-19,Jun-18,Dec-18,,
Surrey Heath Borough Council,Mar-12,Aug-10,Oct-10,Jan-12,Feb-12
"Sutton, London Borough of",Dec-10,Nov-08,Mar-09,Sep-09,Dec-09
"Sutton, London Borough of",Mar-18,Jan-17,Apr-17,Jan-18,Feb-18
Swale Borough Council,Sep-17,Dec-14,Apr-15,Jun-17,Jul-17
Swindon Borough Council,Apr-15,Dec-12,Jun-13,Feb-15,Mar-15
Tameside Metropolitan Borough Council,Dec-10,,,,
Tamworth Borough Council,Mar-16,Oct-14,Feb-15,Feb-16,Feb-16
Tandridge District Council,Dec-10,Dec-07,Jan-08,Sep-08,Oct-08
Tandridge District Council,Feb-19,Jul-18,Jan-19,,
Taunton Deane Borough Council,Sep-12,Jul-11,Nov-11,Jul-12,Sep-12
Teignbridge District Council,May-14,Nov-12,Jun-13,Apr-14,May-14
Telford and Wrekin Council,Dec-10,Oct-06,Oct-06,Nov-07,Dec-07
Telford and Wrekin Council ,Feb-18,Feb-16,Jun-16,Nov-17,Jan-18
Tendring District Council (Joint North Essex Local Plan part 1),Oct-17,Jun-17,Oct-17,,
Test Valley Borough Council,Feb-16,Jan-14,Jul-14,Dec-15,Jan-16
Tewkesbury Borough Council,Jan-18,Jun-14,Nov-14,Oct-17,Dec-17
Thanet District Council,Nov-18,Aug-18,Oct-18,,
Three Rivers District Council,Dec-11,Jun-10,Feb-11,Sep-11,Oct-11
Thurrock Council,Dec-11,Feb-10,Apr-10,Dec-11,Dec-11
Thurrock Council (Review),Feb-15,May-13,Jul-13,Oct-14,Jan-15
Tonbridge and Malling Borough Council,Dec-10,Aug-06,Aug-06,Aug-07,Sep-07
Tonbridge and Malling Borough Council,Feb-19,Oct-18,Jan-19,,
Torbay Council,Jan-16,Feb-14,Jul-14,Oct-15,Dec-15
Torridge District Council,Nov-18,Jun-14,Jun-16,Sep-18,Oct-18
"Tower Hamlets, London Borough of",Dec-10,Sep-09,Dec-09,Jul-10,Sep-10
"Tower Hamlets, London Borough of - Local Plan",Mar-18,Oct-17,Feb-18,,
Trafford Metropolitan Borough Council,Mar-12,Sep-10,Dec-10,Nov-11,Jan-12
Tunbridge Wells Borough Council,Dec-10,Apr-09,Aug-09,Apr-10,Jun-10
Uttlesford District Council,Feb-19,Jun-18,Jan-19,,
Vale of White Horse District Council,Jan-17,Nov-14,Mar-15,Nov-16,Dec-16
Wakefield Council,Dec-10,Jan-08,Jan-08,Mar-09,Apr-09
Walsall Metropolitan Borough Council,Mar-11,Nov-09,Feb-10,Oct-10,Feb-11
"Waltham Forest, London Borough of",Dec-11,Jan-11,May-11,Dec-11,Mar-12
"Wandsworth, London Borough of",Dec-10,Aug-08,Mar-09,Jun-10,Oct-10
"Wandsworth, London Borough of - Local Plan review",Apr-16,Oct-14,Mar-15,Dec-15,Mar-16
Warrington Borough Council,Jul-14,May-12,Sep-12,May-14,Jul-14
"Warrington Borough Council, Local Plan 2017-2037",May-19,Apr-19,,,
Warwick District Council,Sep-17,May-14,Jan-15,Jul-17,Sep-17
Watford Borough Council,Feb-13,May-11,Feb-12,Nov-12,Jan-13
Waveney District Council,Dec-10,Feb-08,Feb-08,Dec-08,Jan-09
Waveney District Council,Apr-19,Mar-18,Jun-18,Mar-19,Mar-19
Waverley Borough Council,Mar-18,Aug-16,Dec-16,Feb-18,Feb-18
Wealden District Council,Feb-13,Feb-11,Aug-11,Oct-12,Nov-12
Wealden District Council,Feb-19,Aug-18,Jan-19,,
Wellingborough Borough Council,Dec-10,Feb-07,Feb-07,Apr-08,Jun-08
Wellingborough Borough Council - first review,Aug-16,Jan-15,Jul-15,Jun-16,Jul-16
Welwyn Hatfield District Council,Jun-17,Aug-16,May-17,,
West Berkshire District Council,Jul-12,Apr-10,Jul-10,Jul-12,Jul-12
West Devon Borough Council,Mar-11,May-09,Jul-10,Mar-11,Apr-11
"West Devon Borough Council, Plymouth & SW Devon Plan",Apr-19,Mar-17,Jul-17,Mar-19,Mar-19
West Dorset District Council,Jan-16,Jun-12,Jun-13,Aug-15,Oct-15
West Lancashire District Council,Oct-13,Aug-12,Oct-12,Sep-13,Oct-13
West Lindsey District Council,May-17,Apr-16,Jun-16,Apr-17,Apr-17
West Oxfordshire District Council,Nov-18,Mar-15,Jul-15,Aug-18,Sep-18
West Somerset District Council,Dec-16,Feb-15,Jul-15,Sep-16,Nov-16
"Westminster, City of",Jan-11,Nov-09,Apr-10,Nov-10,Jan-11
"Westminster, City of (NPPF Revision)",Nov-13,Jul-12,Jan-13,Aug-13,Nov-13
Weymouth and Portland Borough Council,Jan-16,Jun-12,Jun-13,Aug-15,Oct-15
Wigan Metropolitan Borough Council,Aug-13,Feb-11,Sep-11,Aug-13,Sep-13
Wiltshire Council,Feb-15,Feb-12,Jul-12,Dec-14,Jan-15
Winchester City Council (inc South Downs NPA),Apr-13,Jan-12,Jun-12,Feb-13,Mar-13
"Windsor & Maidenhead, Royal Borough of",Feb-18,Jun-17,Jan-18,,
Wirral Metropolitan Borough Council,Jan-13,,,,
Woking Borough Council,Nov-12,Jul-11,Dec-11,Jul-12,Oct-12
Wokingham District Council,Dec-10,Aug-08,Aug-08,Oct-09,Jan-10
Wolverhampton City Council,Mar-11,Nov-09,Feb-10,Oct-10,Feb-11
Worcester City Council,Mar-16,Jan-13,May-13,Feb-16,Feb-16
Worthing Borough Council,Mar-11,Apr-10,Jul-10,Mar-11,Apr-11
Wychavon District Council,Mar-16,Jan-13,May-13,Feb-16,Feb-16
Wycombe District Council,Dec-10,Apr-06,Apr-06,May-08,Jul-08
Wycombe District Council,Apr-18,Oct-17,Mar-18,,
Wyre Borough Council,Mar-19,Sep-17,Jan-18,Feb-19,Feb-19
Wyre Forest District Council,Dec-10,Jan-10,Apr-10,Oct-10,Dec-10
Wyre Forest District Council - Local plan Review,Nov-18,Nov-18,,,
York City Council,Jun-18,Feb-18,May-18,,
Yorkshire Dales National Park,Jan-17,Jul-15,Jan-16,Dec-16,Dec-16
