plan_id,local_development_framework_number
b48f775a-6694-4ea3-8d4c-1a5acf993d5d,1412
97695714-434d-48b5-8621-6504aec6849c,693
87c3ba8f-e036-4abb-92e6-f6a2bf70e7e2,1063
20d25373-8850-4ac5-8b22-fa63a59bac44,1930
ed84f6ef-44cd-406a-89b0-40ceb70149f8,931
7f457d2c-057c-49ec-9361-30c296506671,1835
22dd9906-59fd-421b-aee8-c45d2e40868b,1636
9854a430-cc99-44e3-a7b8-328f7cbd09fb,1969
df7a6d48-c8b9-4d57-87d8-04c9592b31a3,264
b393fec5-4ddb-4368-8a57-c35ee04956a4,1469
a8fa4aed-7fdb-4203-94d8-795e137e66aa,1010
63334b68-029e-4d9b-a461-0b65b7c378a1,1822
43a07557-8479-4374-b7b5-50099a966ce5,842
a1db663c-71f9-45fe-a8aa-e51f9d03907c,1782
17213289-e289-47bb-8638-bad7cb4d88bc,523
71b4f889-b9f7-4a2b-9720-18a3aae13237,404
72209839-2460-4c35-9d63-79e389f0062c,1906
30da2be2-5875-4fcb-b9f5-bb41273b90be,1365
43a07557-8479-4374-b7b5-50099a966ce5,842
7a53a5cc-8931-4548-94cc-8fd20b44a4dd,1314
b42cefd8-2cc4-4141-932f-0ceb4b59b910,352
e3787097-4490-41c4-8bb5-233cb51ac116,2013
43a07557-8479-4374-b7b5-50099a966ce5,842
77371a69-8dc4-4cca-86ad-2b9654b5e6a1,1347
35227a41-4853-40a6-aa52-4b357ea222e5,415
7cab18fd-005d-4b92-9a3f-971afd674753,1199
18fbd9e5-2d50-47c0-87b2-351edf4242a6,1855
3a5b4662-b373-4237-ad84-8e1a7649cac9,557
0a64c812-d576-4efc-b5e9-229259d3b7a5,1795
7126a8e1-f2cc-4e04-9a8f-784acc04e6b0,1770
df5e4626-c8f9-458c-9b75-c6aaf19841f7,1867
5a9b2069-4901-4bbc-9a8f-8a784211ed03,1833
aa7f9c07-780e-44de-a32b-1f9b1ff13e13,1803
13ed529a-72eb-484c-a96b-dc2d46d9913e,1753
13ed529a-72eb-484c-a96b-dc2d46d9913e,1753
5a9b2069-4901-4bbc-9a8f-8a784211ed03,1833
0d66deae-90e1-4059-b5e7-8e8611641229,873
d12564e2-e7d4-4c42-ae45-823c50dbd2c9,1936
13ed529a-72eb-484c-a96b-dc2d46d9913e,1753
20d50033-8d8a-4cff-88e3-40ba05e1e921,990
5b973444-94c8-4331-9cfb-af0fe6d4cf7f,1836
a72eca2f-24ac-4362-b612-43ebcf7479de,1350
b160db07-8136-4698-b19b-ddf7db61ec9c,269
5c88bf51-0629-436a-9900-f0b4eaa4381c,620
7a2071b3-b840-4224-9548-89f9c3d4ede1,609
a72eca2f-24ac-4362-b612-43ebcf7479de,1350
a72eca2f-24ac-4362-b612-43ebcf7479de,1350
b818aff3-bd8a-4243-8e7a-e4ac402182de,1367
194c957b-2fd6-499d-b6d6-4f8344b4db32,803
b818aff3-bd8a-4243-8e7a-e4ac402182de,1367
b818aff3-bd8a-4243-8e7a-e4ac402182de,1367
194c957b-2fd6-499d-b6d6-4f8344b4db32,803
194c957b-2fd6-499d-b6d6-4f8344b4db32,803
b818aff3-bd8a-4243-8e7a-e4ac402182de,1367
fabfb03b-4e3d-4fd8-a874-88d1457874bd,1884
d06d6c34-9bcc-4839-83c4-9334554d546b,49
c28b7f1b-30dd-40b9-bc1c-e59b1b8e1d63,799
fcbf1602-9aa2-44c4-8b9b-589e293d0029,1892
86b612dd-a8bd-405b-aa8e-cb39448005c2,1345
4a7df200-6ad1-4a01-a7a9-fcd7385faf6f,791
4a379f6b-7970-4522-9762-f85da25ba5ab,1715
8e97b761-1082-40cb-a1a5-d66ba4bc41b0,1079
45d85ac7-9c13-4f28-aca3-aa0db2b6d7ab,1206
1ac65a2e-3457-4033-a5db-f06dc73a257e,1052
1ac65a2e-3457-4033-a5db-f06dc73a257e,1052
5f25d9c6-6334-4507-8b61-01a9ba6f8d40,1939
ec7b71e5-da20-46c8-a9dd-6b2ef591d5bd,1847
e0e3f95a-d104-4eda-9b86-553812060a8d,1293
65ea6e15-82eb-4537-9345-b964f0e883e1,1358
6fcfc710-d741-422d-8a28-03dcd4263845,1848
76b9910c-53ea-45c8-ac22-5a35ea0e12f8,725
211c51b8-45eb-422a-b364-46acfed71b84,2003
6288af75-399b-4878-9b85-0891d95ff058,1000
d9cd6156-7cb2-445d-9101-9111b8e2102c,1859
5c914e72-2d3c-4d5a-b85c-038d82b79e64,832
43ff978e-dedf-42cd-bff2-5b746c62ec70,928
a1fd6006-2964-43ed-8cf4-6191f59bb5b8,1380
ef664de8-93b8-43eb-875a-8b36e0595b3f,1811
71333f62-e138-42b7-8132-2b2a99687171,1323
5627dd48-f80d-43ca-9357-49390aee0e02,1256
4cb09287-7a8f-4aa6-9076-3c7466ad26ec,1647
974ae5d1-c3bb-428c-8dc5-f830bc1663a7,1416
a8cffe27-82e3-494d-ad90-550379c07894,1085
6bcaab31-cd8c-47a3-9047-7f4cd728b35f,1333
54ee799a-3874-4a32-82ee-c5632b7c4b69,550
24a89ae4-2592-4c6e-bfdc-f844a8f5b9a2,1227
9d615ee9-76df-4968-9dd2-c58eae902804,1406
d52f82b7-2ab5-4489-87fe-fa9ef836e5fd,805
e16df853-5eff-4b7a-b1cf-4390ef7ea592,1902
e3b7c403-fb3e-404f-8a2a-d78fd5091da5,1617
b49461a3-759c-4d01-92c1-aff99699e46c,1231
755f2847-3f10-4ae7-8e09-4a87e6e15602,191
6e207c51-d629-4ace-be0a-39dc0573c18c,1340
2d1a7516-39b2-45b6-9017-1eb06cef3a05,1531
e960591a-c774-4e2d-af8c-162e06689991,1278
5707f9cd-ba5a-4499-8a24-4e331173dfc7,1029
24a33892-8d79-44d6-aa65-f76596059269,438
f7455507-72b1-4513-af01-3ae610717999,1960
5bfa79f8-b2e9-464e-b362-0b79272febff,1908
94ec63f6-5081-4e42-a23e-433f80d6b918,551
d06d0c20-25a1-4c64-a419-37ee6df26663,374
44dcb65f-6e33-4393-a613-138d131f028a,1764
2c041667-e350-44c5-83ec-78ea5e6f3b2d,511
51ddab07-f679-41d6-a419-32f7bd25f277,1305
290c3718-c7ff-47bc-9bba-f577fde9af9c,1889
6299f130-8216-43d3-8858-89fb9dad5652,484
d18d4eb8-3872-47bb-8fa0-e198affdcf1a,251
716c27fa-4e56-4fbc-8a1d-f86fe99a2b7e,1933
5e0e69fb-6794-428b-82e1-aa81dadad2c6,1779
a7e6d646-54de-45b6-9085-adb7808b9f56,1073
0da2ac86-8bf0-4c4b-bc48-2da92f46727f,1815
9243ef22-ee90-444a-acd4-bcf14b962695,1086
0079694f-85e8-4ba5-a0d9-7dfd870a6643,1678
6ce62f98-8337-4f65-9716-58bc02b24f51,811
4e8dd423-dcbe-44af-96db-3a7eb554c3b9,1745
fa1fa437-3953-4667-899a-d3182c55ccfe,1578
52708857-29ec-4fc7-8c06-0e0654cc5303,1570
252e87cd-a0d3-4a20-bcc4-b2e104996fa6,995
b6fe3079-37c0-48cb-affe-b5b077ab5d15,1089
09bbd8b4-75f5-48aa-954c-ac63018d376f,1423
034cf060-0268-4964-9fd0-6c10e3c3f405,1608
f7ab3008-a04e-4536-b285-10566f24f705,1568
7c4e3e98-d750-446f-aaed-8ba26f1e2558,1676
88d1e45c-4d33-4a8c-bfd1-7845fd686e41,1062
602147fb-c091-4eee-b8a4-c19f09ca1509,1503
868e439e-f1c0-41a1-b952-d9db2beb06c2,1402
b94bbcac-a9b9-48a2-a7c6-66430ecc983e,1502
868e439e-f1c0-41a1-b952-d9db2beb06c2,1402
868e439e-f1c0-41a1-b952-d9db2beb06c2,1402
17e834e2-dc3d-4c40-9d5d-874fa2df71ca,794
a9608242-297d-4865-aa47-c0f44b51f93b,1853
c9cd8aa4-cfe3-4e7f-b81b-bb6dae5b620b,1962
9cd9b1e0-e19c-40ff-a367-b55da0a168ef,1717
daf38f0d-dcf2-4d3c-abc6-7d71958088d5,1794
93a3b417-4093-4b7b-beff-14bd0a000eb5,844
03776d95-0e60-4c47-8d94-37cb160d2197,1131
58b14fc2-abb1-49dc-9052-d2833a799438,1232
74b773dc-a0f4-4613-8316-af10f6e461bf,1161
0516a876-6782-4d0c-b31e-e865d85d4bf2,1413
2259cad0-ee6d-44bf-99aa-1aba08dab7f0,1093
949e2438-8d71-4be0-b5dc-67400e8607fc,1069
1dc02551-0279-4da2-a0e0-14f22fce3893,1233
49b1a52a-614b-4ea3-a4a1-e2f421115fc8,1112
81c562eb-d68f-406e-b15e-8b6a3f61f4d0,1893
4f7371c0-5815-4ccc-a6ac-9a684de38898,131
8224e195-a24e-4e10-a1f0-e40721f2e250,1645
9ff460cb-2bb8-48d2-80d4-359f6821b89b,1768
982a65e7-36fa-451b-bfb0-08d6edd8751f,401
2d208e84-641b-4bcc-9a6b-40627a3e8f68,699
de6cbb4d-42b0-4e30-8de6-9c03018ce068,410
6f3b7d3c-a04c-46a6-9f98-c23bd794cf30,1501
be9ad1c4-f2a8-4e68-b56e-872caf7be0a3,1510
a9c0dfea-a696-4c82-9931-f6a5b7f8b106,300
a24ddbcc-dcad-4bb6-a161-a414109eed85,1943
2a72a06b-823f-4146-94a5-2c35446404b5,1526
1c40a6a9-a132-47a2-a580-0f80d473e61d,1741
95690c16-7ad0-4b4d-9581-fc267e0f0537,766
95690c16-7ad0-4b4d-9581-fc267e0f0537,766
a11d7559-1ec8-436c-b643-8a2b78660d80,1237
95690c16-7ad0-4b4d-9581-fc267e0f0537,766
95690c16-7ad0-4b4d-9581-fc267e0f0537,766
c4960e3b-ad51-4d94-a886-0125d830ebba,1543
74564582-cddd-45f4-b09c-35e08902cf91,2006
e5e55605-6881-471d-8f23-7222468ec3e0,1797
721cea23-beb2-4cbf-8e8c-b1e1e7bde6cb,974
d8fff231-e5a6-48b0-b47d-37968cb0573f,1899
56ffcf42-1e88-4237-87a5-d6932011ae30,539
6f3b7d3c-a04c-46a6-9f98-c23bd794cf30,1501
e8367ba9-56da-4507-9855-dcc6f2f5e903,1523
d00b83a7-aabe-4bbd-866c-ef2cc11d59a3,957
48647056-2c80-4d6f-a403-ace690639a61,1193
636d2ba4-c268-41a4-80eb-13fa2a9598fd,521
a8dbb275-ef77-4be6-a77a-6cbe28dc4e70,1011
b0c67350-039c-4410-9d82-b814b1e29668,1798
a1cfa4ac-822b-4727-a5fd-0c55909a15bb,1746
91ac26b7-d253-4569-9a70-92763649a92a,1784
a6e0dc08-d86e-43b2-8b7b-5d59308e59a0,1195
a418a33c-0b10-4493-8adf-12a820a125aa,738
d78c2bb3-f734-4adc-9cf9-3146a5c9f929,1419
62f52efd-2a09-4f42-b7ad-8e4d3edf028a,910
e564f51e-3ef2-4caf-a6fe-0941988a59ec,1999
ba0cf7b4-31fb-4ac0-a2e0-eac7c34db0da,1786
b1f7862a-5ab5-43ec-851d-3810d6aaa0f8,1734
cc2ab3d9-4427-476e-b241-e79fcf7c37af,1018
15d670bb-4304-47d6-8791-1078623a5c28,130
6f6a4419-9a2f-4b8b-9cb4-7669753b82d1,1851
d299fb9a-a499-4518-8b24-595185cd55ea,290
c131e54c-78e3-476d-85cd-505e4e7247b3,1545
c6eb3467-ba83-40a3-9d52-767e7f340c61,1027
868fb19e-9f8f-41f6-9df6-338edba300e8,1102
12c410f7-7d60-4e7e-b636-de6d45944548,1478
55685acf-e02f-4be0-80ae-4e98d50c7fcf,752
f5eeca0a-377f-4b4a-8628-38ccf2a56fe5,1429
